game_id,date,round,home_team_id,away_team_id,venue_id,attendance
1,1994-03-26 00:00:00,1,1,2,1,0
2,1994-03-26 00:00:00,1,3,4,2,0
3,1994-03-26 00:00:00,1,5,6,3,0
4,1994-03-26 00:00:00,1,7,8,4,0
5,1994-03-27 00:00:00,1,9,10,5,0
6,1994-03-27 00:00:00,1,11,12,6,0
7,1994-03-27 00:00:00,1,13,14,2,0
8,1994-04-02 00:00:00,2,15,7,2,0
9,1994-04-02 00:00:00,2,8,13,4,0
10,1994-04-02 00:00:00,2,6,3,7,0
11,1994-04-03 00:00:00,2,2,9,2,0
12,1994-04-03 00:00:00,2,4,11,8,0
13,1994-04-04 00:00:00,2,14,1,9,0
14,1994-04-04 00:00:00,2,5,12,2,0
15,1994-04-08 00:00:00,3,15,8,2,0
16,1994-04-09 00:00:00,3,2,4,2,0
17,1994-04-09 00:00:00,3,7,3,4,0
18,1994-04-09 00:00:00,3,6,9,1,0
19,1994-04-10 00:00:00,3,5,1,2,0
20,1994-04-10 00:00:00,3,12,14,7,0
21,1994-04-10 00:00:00,3,10,11,10,0
22,1994-04-15 00:00:00,4,10,2,10,0
23,1994-04-16 00:00:00,4,1,15,1,0
24,1994-04-16 00:00:00,4,3,13,2,0
25,1994-04-16 00:00:00,4,4,6,11,0
26,1994-04-16 00:00:00,4,8,12,4,0
27,1994-04-17 00:00:00,4,9,7,5,0
28,1994-04-17 00:00:00,4,11,14,6,0
29,1994-04-22 00:00:00,5,13,9,2,0
30,1994-04-23 00:00:00,5,14,15,9,0
31,1994-04-23 00:00:00,5,6,10,1,0
32,1994-04-23 00:00:00,5,3,5,2,0
33,1994-04-24 00:00:00,5,11,1,6,0
34,1994-04-25 00:00:00,5,7,2,4,0
35,1994-04-24 00:00:00,5,4,8,8,0
36,1994-04-30 00:00:00,6,15,4,2,0
37,1994-04-30 00:00:00,6,12,10,7,0
38,1994-04-30 00:00:00,6,9,11,5,0
39,1994-04-30 00:00:00,6,13,5,4,0
40,1994-05-07 00:00:00,7,13,15,2,0
41,1994-05-07 00:00:00,7,8,3,4,0
42,1994-05-07 00:00:00,7,2,6,7,0
43,1994-05-08 00:00:00,7,10,7,10,0
44,1994-05-08 00:00:00,7,4,12,8,0
45,1994-05-08 00:00:00,7,1,9,1,0
46,1994-05-08 00:00:00,7,14,5,2,0
47,1994-05-13 00:00:00,8,2,12,2,0
48,1994-05-14 00:00:00,8,6,15,1,0
49,1994-05-14 00:00:00,8,5,7,2,0
50,1994-05-14 00:00:00,8,8,9,4,0
51,1994-05-15 00:00:00,8,10,14,10,0
52,1994-05-15 00:00:00,8,13,1,2,0
53,1994-05-15 00:00:00,8,3,11,7,0
54,1994-05-20 00:00:00,9,15,5,2,0
55,1994-05-21 00:00:00,9,13,10,2,0
56,1994-05-21 00:00:00,9,14,2,9,0
57,1994-05-21 00:00:00,9,1,4,1,0
58,1994-05-21 00:00:00,9,3,12,4,0
59,1994-05-22 00:00:00,9,11,8,6,0
60,1994-05-22 00:00:00,9,7,6,4,0
61,1994-05-27 00:00:00,10,4,10,11,0
62,1994-05-28 00:00:00,10,3,14,2,0
63,1994-05-28 00:00:00,10,5,8,3,0
64,1994-05-28 00:00:00,10,12,1,7,0
65,1994-05-28 00:00:00,10,7,13,4,0
66,1994-05-29 00:00:00,10,9,15,5,0
67,1994-05-29 00:00:00,10,11,6,6,0
68,1994-06-04 00:00:00,11,14,9,9,0
69,1994-06-04 00:00:00,11,5,11,3,0
70,1994-06-04 00:00:00,11,3,2,7,0
71,1994-06-04 00:00:00,11,12,6,4,0
72,1994-06-05 00:00:00,11,13,4,2,0
73,1994-06-05 00:00:00,11,10,15,10,0
74,1994-06-05 00:00:00,11,8,1,4,0
75,1994-06-11 00:00:00,12,14,7,9,0
76,1994-06-11 00:00:00,12,13,12,2,0
77,1994-06-13 00:00:00,12,1,3,4,0
78,1994-06-11 00:00:00,12,15,11,7,0
79,1994-06-12 00:00:00,12,10,8,10,0
80,1994-06-12 00:00:00,12,4,9,8,0
81,1994-06-13 00:00:00,12,2,5,2,0
82,1994-06-18 00:00:00,13,12,7,7,0
83,1994-06-18 00:00:00,13,2,15,2,0
84,1994-06-18 00:00:00,13,8,6,4,0
85,1994-06-19 00:00:00,13,1,10,1,0
86,1994-06-19 00:00:00,13,5,4,2,0
87,1994-06-19 00:00:00,13,9,3,5,0
88,1994-06-19 00:00:00,13,11,13,6,0
89,1994-06-24 00:00:00,14,15,12,2,0
90,1994-06-25 00:00:00,14,13,2,2,0
91,1994-06-25 00:00:00,14,1,6,1,0
93,1994-06-25 00:00:00,14,14,4,9,0
94,1994-06-26 00:00:00,14,3,10,2,0
95,1994-06-26 00:00:00,14,9,5,5,0
96,1994-07-01 00:00:00,15,4,7,11,0
97,1994-07-02 00:00:00,15,6,13,1,0
98,1994-07-02 00:00:00,15,8,14,4,0
99,1994-07-02 00:00:00,15,15,3,2,0
100,1994-07-02 00:00:00,15,12,9,7,0
101,1994-07-03 00:00:00,15,11,2,6,0
102,1994-07-03 00:00:00,15,10,5,10,0
103,1994-07-09 00:00:00,16,8,7,4,0
104,1994-07-09 00:00:00,16,14,13,9,0
105,1994-07-09 00:00:00,16,2,1,2,0
106,1994-07-09 00:00:00,16,6,5,1,0
107,1994-07-10 00:00:00,16,4,3,8,0
108,1994-07-10 00:00:00,16,10,9,10,0
109,1994-07-10 00:00:00,16,12,11,7,0
110,1994-07-16 00:00:00,17,1,14,1,0
111,1994-07-16 00:00:00,17,7,15,4,0
112,1994-07-16 00:00:00,17,5,12,2,0
113,1994-07-16 00:00:00,17,13,8,7,0
114,1994-07-17 00:00:00,17,3,6,2,0
115,1994-07-17 00:00:00,17,9,2,5,0
116,1994-07-17 00:00:00,17,11,4,6,0
