game_id,team_id,kicks,handballs,disposals,marks,tackles,hitouts,frees_for,frees_against,goals_kicked,behinds_kicked,behinds_rushed,scoring_shots,inside_50s,in50s_score,in50s_goal
1,1,176,123,299,54,16,10,0,0,17,11,0,28,0,,
1,2,173,86,259,61,17,14,0,0,17,7,2,26,0,,
2,3,195,99,294,51,27,28,0,0,12,7,3,22,0,,
2,4,204,122,326,66,33,16,0,0,11,12,1,24,0,,
3,5,181,69,250,69,36,22,0,0,17,11,1,29,0,,
3,6,166,120,286,59,24,14,0,0,16,6,1,23,0,,
4,7,174,90,264,59,17,18,0,0,15,7,0,22,0,,
4,8,206,123,329,77,29,25,0,0,23,14,1,38,0,,
5,9,164,111,275,50,36,17,0,0,13,16,5,34,0,,
5,10,164,81,245,69,25,18,0,0,12,14,3,29,0,,
6,11,226,136,362,95,28,22,0,0,22,13,5,40,0,,
6,12,183,123,306,64,24,19,0,0,13,5,1,19,0,,
7,13,221,110,331,89,23,24,0,0,26,17,1,44,0,,
7,14,161,73,234,54,29,18,0,0,16,11,2,29,0,,
8,15,189,116,305,58,21,20,0,0,21,12,4,37,0,,
8,7,209,127,336,62,20,6,0,0,10,12,1,23,0,,
9,8,157,106,263,60,38,11,0,0,8,13,3,24,0,,
9,13,187,141,328,76,24,24,0,0,17,14,2,33,0,,
10,6,185,109,294,60,35,11,0,0,17,10,0,27,0,,
10,3,188,105,293,53,25,24,0,0,14,13,2,29,0,,
11,2,218,137,355,76,27,13,0,0,20,11,3,34,0,,
11,9,168,137,305,47,31,17,0,0,11,6,0,17,0,,
12,4,178,76,254,70,33,46,0,0,14,10,3,27,0,,
12,11,167,120,287,50,18,28,0,0,11,9,3,23,0,,
13,14,212,122,334,83,21,25,0,0,22,16,4,42,0,,
13,1,176,92,268,54,31,13,0,0,8,15,1,24,0,,
14,5,197,99,296,81,38,21,0,0,14,15,1,30,0,,
14,12,172,97,269,63,29,19,0,0,9,11,1,21,0,,
15,15,206,107,313,74,21,18,0,0,25,21,2,48,0,,
15,8,172,109,281,66,25,2,0,0,6,8,2,16,0,,
16,2,163,95,258,56,14,11,0,0,5,9,0,14,0,,
16,4,222,115,337,95,35,18,0,0,20,14,1,35,0,,
17,7,215,89,304,90,32,20,0,0,16,11,1,28,0,,
17,3,186,106,292,65,25,13,0,0,14,10,0,24,0,,
18,6,202,106,308,71,40,16,0,0,17,9,0,26,0,,
